,Poverty Thresholds 1990,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1990 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$6,652 ",,,,,,,,,
Under 65 years......,"6,800","6,800",,,,,,,,
65 years and over......,"6,268","6,268",,,,,,,,
,,,,,,,,,,
Two persons......,"8,509",,,,,,,,,
Householder under 65 years......,"8,794","8,752","9,009",,,,,,,
Householder 65 years and over......,"7,905","7,900","8,975",,,,,,,
,,,,,,,,,,
Three persons......,"10,419","10,223","10,520","10,530",,,,,,
Four persons......,"13,359","13,481","13,701","13,254","13,301",,,,,
Five persons......,"15,792","16,257","16,494","15,989","15,598","15,359",,,,
Six persons......,"17,839","18,699","18,773","18,386","18,015","17,464","17,137",,,
Seven persons......,"20,241","21,515","21,650","21,187","20,864","20,262","19,561","18,791",,
Eight persons......,"22,582","24,063","24,276","23,839","23,456","22,913","22,223","21,505","21,323",
Nine persons or more......,"26,848","28,946","29,087","28,700","28,375","27,842","27,108","26,445","26,280","25,268"
Source:U.S. Census Bureau,,,,,,,,,,
