,Poverty Thresholds 1993,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1993 by Size of Family and Number of Related Children Under 18 Years",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"7,363",,,,,,,,,
Under 65 years......,"7,518","7,518",,,,,,,,
65 years and over......,"6,930","6,930",,,,,,,,
,,,,,,,,,,
Two persons......,"9,414",,,,,,,,,
Householder under 65 years......,"9,728","9,676","9,960",,,,,,,
Householder 65 years and over......,"8,740","8,734","9,922",,,,,,,
,,,,,,,,,,
Three persons......,"11,522","11,303","11,631","11,642",,,,,,
Four persons......,"14,763","14,904","15,148","14,654","14,705",,,,,
Five persons......,"17,449","17,974","18,235","17,677","17,245","16,981",,,,
Six persons......,"19,718","20,673","20,755","20,328","19,918","19,308","18,947",,,
Seven persons......,"22,383","23,787","23,936","23,424","23,067","22,402","21,626","20,775",,
Eight persons......,"24,838","26,604","26,839","26,356","25,932","25,332","24,569","23,776","23,574",
Nine persons or more......,"29,529","32,003","32,158","31,730","31,371","30,782","29,970","29,237","29,055","27,936"
Source:U.S. Census Bureau,,,,,,,,,,
