,Poverty Thresholds 1983,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1983 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$5,061 ",,,,,,,,,
Under 65 years......,"5,180","5,180",,,,,,,,
65 years and over......,"4,775","4,775",,,,,,,,
,,,,,,,,,,
Two persons......,"6,483",,,,,,,,,
Householder under 65 years......,"6,697","6,667","6,863",,,,,,,
Householder 65 years and over......,"6,023","6,019","6,837",,,,,,,
,,,,,,,,,,
Three persons......,"7,938","7,789","8,015","8,022",,,,,,
Four persons......,"10,178","10,270","10,437","10,098","10,133",,,,,
Five persons......,"12,049","12,385","12,565","12,181","11,882","11,701",,,,
Six persons......,"13,630","14,245","14,301","14,007","13,724","13,305","13,056",,,
Seven persons......,"15,500","16,390","16,493","16,140","15,894","15,436","14,901","14,315",,
Eight persons......,"17,170","18,331","18,493","18,160","17,869","17,445","16,931","16,383","16,244",
Nine persons or more......,"20,310","22,051","22,159","21,864","21,617","21,210","20,652","20,145","20,021","19,249"
Source:U.S. Census Bureau,,,,,,,,,,
