,Poverty Thresholds 1996,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1996 by Size of Family and Number of Related Children Under 18 Years",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"7,995",,,,,,,,,
Under 65 years......,"8,163","8,163",,,,,,,,
65 years and over......,"7,525","7,525",,,,,,,,
,,,,,,,,,,
Two persons......,"10,233",,,,,,,,,
Householder under 65 years......,"10,564","10,507","10,815",,,,,,,
Householder 65 years and over......,"9,491","9,484","10,774",,,,,,,
,,,,,,,,,,
Three persons......,"12,516","12,273","12,629","12,641",,,,,,
Four persons......,"16,036","16,183","16,448","15,911","15,967",,,,,
Five persons......,"18,952","19,516","19,800","19,194","18,725","18,438",,,,
Six persons......,"21,389","22,447","22,536","22,072","21,627","20,965","20,573",,,
Seven persons......,"24,268","25,828","25,990","25,434","25,046","24,324","23,482","22,558",,
Eight persons......,"27,091","28,887","29,142","28,617","28,158","27,506","26,678","25,816","25,597",
Nine persons or more......,"31,971","34,749","34,917","34,453","34,063","33,423","32,542","31,746","31,548","30,333"
Source:U.S. Census Bureau,,,,,,,,,,
