,Poverty Thresholds 1982,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1982 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$4,901 ",,,,,,,,,
Under 65 years......,"5,019","5,019",,,,,,,,
65 years and over......,"4,626","4,626",,,,,,,,
,,,,,,,,,,
Two persons......,"6,281",,,,,,,,,
Householder under 65 years......,"6,487","6,459","6,649",,,,,,,
Householder 65 years and over......,"5,836","5,831","6,624",,,,,,,
,,,,,,,,,,
Three persons......,"7,693","7,546","7,765","7,772",,,,,,
Four persons......,"9,862","9,950","10,112","9,783","9,817",,,,,
Five persons......,"11,684","11,999","12,173","11,801","11,512","11,336",,,,
Six persons......,"13,207","13,801","13,855","13,570","13,296","12,890","12,649",,,
Seven persons......,"15,036","15,879","15,979","15,637","15,399","14,955","14,437","13,869",,
Eight persons......,"16,719","17,760","17,917","17,594","17,312","16,911","16,403","15,872","15,738",
Nine persons or more......,"19,698","21,364","21,468","21,183","20,943","20,549","20,008","19,517","19,397","18,649"
Source:U.S. Census Bureau,,,,,,,,,,
