,Poverty Thresholds 1987,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1987 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$5,779 ",,,,,,,,,
Under 65 years......,"5,909","5,909",,,,,,,,
65 years and over......,"5,447","5,447",,,,,,,,
,,,,,,,,,,
Two persons......,"7,398",,,,,,,,,
Householder under 65 years......,"7,641","7,606","7,829",,,,,,,
Householder 65 years and over......,"6,873","6,865","7,799",,,,,,,
,,,,,,,,,,
Three persons......,"9,057","8,885","9,142","9,151",,,,,,
Four persons......,"11,611","11,715","11,907","11,519","11,559",,,,,
Five persons......,"13,733","14,128","14,334","13,895","13,555","13,348",,,,
Six persons......,"15,507","16,250","16,314","15,978","15,656","15,177","14,893",,,
Seven persons......,"17,631","18,698","18,814","18,412","18,131","17,609","16,999","16,330",,
Eight persons......,"19,472","20,912","21,096","20,717","20,384","19,912","19,313","18,689","18,530",
Nine persons or more......,"23,106","25,155","25,277","24,941","24,659","24,196","23,558","22,981","22,839","21,959"
Source:U.S. Census Bureau,,,,,,,,,,
