,Poverty Thresholds 1994,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1994 by Size of Family and Number of Related Children Under 18 Years",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"7,547",,,,,,,,,
Under 65 years......,"7,710","7,710",,,,,,,,
65 years and over......,"7,108","7,108",,,,,,,,
,,,,,,,,,,
Two persons......,"9,661",,,,,,,,,
Householder under 65 years......,"9,976","9,924","10,215",,,,,,,
Householder 65 years and over......,"8,967","8,958","10,176",,,,,,,
,,,,,,,,,,
Three persons......,"11,821","11,592","11,929","11,940",,,,,,
Four persons......,"15,141","15,286","15,536","15,029","15,081",,,,,
Five persons......,"17,900","18,434","18,702","18,129","17,686","17,416",,,,
Six persons......,"20,235","21,203","21,287","20,848","20,427","19,802","19,432",,,
Seven persons......,"22,923","24,396","24,548","24,023","23,657","22,975","22,180","21,307",,
Eight persons......,"25,427","27,285","27,526","27,031","26,596","25,980","25,198","24,385","24,178",
Nine persons or more......,"30,300","32,822","32,981","32,543","32,174","31,570","30,738","29,985","29,799","28,651"
Source:U.S. Census Bureau,,,,,,,,,,
