,Poverty Thresholds 1991,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1991 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$6,932 ",,,,,,,,,
Under 65 years......,"7,086","7,086",,,,,,,,
65 years and over......,"6,532","6,532",,,,,,,,
,,,,,,,,,,
Two persons......,"8,865",,,,,,,,,
Householder under 65 years......,"9,165","9,120","9,388",,,,,,,
Householder 65 years and over......,"8,241","8,233","9,352",,,,,,,
,,,,,,,,,,
Three persons......,"10,860","10,654","10,963","10,973",,,,,,
Four persons......,"13,924","14,048","14,278","13,812","13,860",,,,,
Five persons......,"16,456","16,941","17,188","16,662","16,254","16,006",,,,
Six persons......,"18,587","19,486","19,563","19,160","18,773","18,199","17,859",,,
Seven persons......,"21,058","22,421","22,561","22,078","21,742","21,115","20,384","19,582",,
Eight persons......,"23,605","25,076","25,297","24,842","24,443","23,877","23,158","22,410","22,220",
Nine persons or more......,"27,942","30,165","30,311","29,908","29,569","29,014","28,249","27,558","27,386","26,331"
Source:U.S. Census Bureau,,,,,,,,,,
