,Poverty Thresholds 2006,,,,,,,,,
,,,,,,,,,,
,(Use landscape & legal printer options to print this table),,,,,,,,,
,Poverty Thresholds for 2006 by Size of Family and Number of Related Children Under 18 Years,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of Family Unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual) ......,"10,294",,,,,,,,,
Under 65 years ......,"10,488","10,488",,,,,,,,
65 years and over ......,"9,669","9,669",,,,,,,,
,,,,,,,,,,
Two people ......,"13,167",,,,,,,,,
Householder under 65 years ......,"13,569","13,500","13,896",,,,,,,
Householder 65 years and over ......,"12,201","12,186","13,843",,,,,,,
,,,,,,,,,,
Three people ......,"16,079","15,769","16,227","16,242",,,,,,
Four people ......,"20,614","20,794","21,134","20,444","20,516",,,,,
Five people ......,"24,382","25,076","25,441","24,662","24,059","23,691",,,,
Six people ......,"27,560","28,842","28,957","28,360","27,788","26,938","26,434",,,
Seven people ......,"31,205","33,187","33,394","32,680","32,182","31,254","30,172","28,985",,
Eight people ......,"34,774","37,117","37,444","36,770","36,180","35,342","34,278","33,171","32,890",
Nine people or more ......,"41,499","44,649","44,865","44,269","43,768","42,945","41,813","40,790","40,536","38,975"
Source:U.S. Census Bureau,,,,,,,,,,
