,Poverty Thresholds 1995,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1995 by Size of Family and Number of Related Children Under 18 Years",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"7,763",,,,,,,,,
Under 65 years......,"7,929","7,929",,,,,,,,
65 years and over......,"7,309","7,309",,,,,,,,
,,,,,,,,,,
Two persons......,"9,933",,,,,,,,,
Householder under 65 years......,"10,259","10,205","10,504",,,,,,,
Householder 65 years and over......,"9,219","9,212","10,465",,,,,,,
,,,,,,,,,,
Three persons......,"12,158","11,921","12,267","12,278",,,,,,
Four persons......,"15,569","15,719","15,976","15,455","15,509",,,,,
Five persons......,"18,408","18,956","19,232","18,643","18,187","17,909",,,,
Six persons......,"20,804","21,803","21,890","21,439","21,006","20,364","19,983",,,
Seven persons......,"23,552","25,088","25,244","24,704","24,328","23,627","22,809","21,911",,
Eight persons......,"26,237","28,058","28,306","27,797","27,350","26,717","25,913","25,076","24,863",
Nine persons or more......,"31,280","33,752","33,916","33,465","33,086","32,464","31,609","30,835","30,644","29,463"
Source:U.S. Census Bureau,,,,,,,,,,
