,Poverty Thresholds 2002,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 2003 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"9,183",,,,,,,,,
Under 65 years......,"9,359","9,359",,,,,,,,
65 years and over......,"8,628","8,628",,,,,,,,
,,,,,,,,,,
Two persons......,"11,756",,,,,,,,,
Householder under 65 years......,"12,110","12,047","12,400",,,,,,,
Householder 65 years and over......,"10,885","10,874","12,353",,,,,,,
,,,,,,,,,,
Three persons......,"14,348","14,072","14,480","14,494",,,,,,
Four persons......,"18,392","18,556","18,859","18,244","18,307",,,,,
Five persons......,"21,744","22,377","22,703","22,007","21,469","21,141",,,,
Six persons......,"24,576","25,738","25,840","25,307","24,797","24,038","23,588",,,
Seven persons......,"28,001","29,615","29,799","29,162","28,718","27,890","26,924","25,865",,
Eight persons......,"30,907","33,121","33,414","32,812","32,285","31,538","30,589","29,601","29,350",
Nine persons or more......,"37,062","39,843","40,036","39,504","39,057","38,323","37,313","36,399","36,173","34,780"
Source:U.S. Census Bureau,,,,,,,,,,
