,Poverty Thresholds 1981,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1981 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$4,620 ",,,,,,,,,
Under 65 years......,"4,729","4,729",,,,,,,,
65 years and over......,"4,359","4,359",,,,,,,,
,,,,,,,,,,
Two persons......,"5,917",,,,,,,,,
Householder under 65 years......,"6,111","6,086","6,265",,,,,,,
Householder 65 years and over......,"5,498","5,494","6,241",,,,,,,
,,,,,,,,,,
Three persons......,"7,250","7,110","7,316","7,323",,,,,,
Four persons......,"9,287","9,375","9,528","9,218","9,250",,,,,
Five persons......,"11,007","11,306","11,407","11,119","10,847","10,681",,,,
Six persons......,"12,449","13,004","13,055","12,786","12,528","12,145","11,918",,,
Seven persons......,"14,110","14,962","15,056","14,734","14,509","14,091","13,603","13,068",,
Eight persons......,"15,655","16,734","16,882","16,578","16,312","15,934","15,455","14,955","14,829",
Nine persons or more......,"18,572","20,130","20,228","19,959","19,733","19,362","18,852","18,390","18,276","17,572"
Source:U.S. Census Bureau,,,,,,,,,,
